location_name,fb_location_name,location_folder,type_data,excecute,database_name,database_id,start_date
Colombia,Colombia,colombia,movement,YES,Colombia Coronavirus Disease Prevention Map Apr 03 2020 Id,1442706159202263,2020-04-02
Indiana,Indiana,indiana_usa,movement,NO,,,2020-04-04
Illinois,Illinois,illinois_usa,movement,NO,,,2020-04-05
Kentucky,Kentucky,kentucky_usa,movement,NO,,,2020-04-02
Florida,Florida,florida_usa,movement,NO,,,2020-04-09
Italy,Italy,italy,movement,NO,,,2020-03-23
Peru,Peru,peru,movement,NO,,,2020-03-25
Bogota,Bogota,bogota,movement,YES,Bogota Coronavirus Disease Prevention Map Apr 13 2020 Id,3216613729838790,2020-04-12
New South Wales,New South Wales,new_south_wales,movement,NO,,,2020-05-03
Vermont,Vermont,vermont_usa,movement,NO,,,2020-04-06
Oregon,Oregon,oregon_usa,movement,NO,,,2020-04-28
Germany,Germany,germany,movement,NO,,,2020-03-25
Brazil,Brazil,brazil,movement,NO,,,2020-03-31
Colombia,COL_gadm_2,colombia,movement_range,NO,,,2020-02-21
Chile,Chile,chile,movement,NO,,,2020-03-23
Mexico,Mexico,mexico,movement,NO,,,2020-04-02
Cameroon,Cameroon,cameroon,movement,NO,,,2020-05-12
Cameroon,CMR_gadm_2,cameroon,movement_range,NO,,,2020-02-21
Gabon,Gabon,gabon,movement,NO,,,2020-05-14
Gabon,GAB_gadm_2,gabon,movement_range,NO,,,2020-02-21
Equatorial Guinea,Equatorial Guinea,equatorial_guinea,movement,NO,,,2020-05-14
Equatorial Guinea,GNQ_gadm_2,equatorial_guinea,movement_range,NO,,,2020-02-21
